日期時間,股票代號,股票名稱,觸發價格,核心訊號,技術與量能,T+1 報酬率(%),T+3 報酬率(%),T+5 報酬率(%)
2026-05-25 17:13:00,3163,波若威,1210.0,表面型態：⚡【量能爆發突破】,RSI 指標：49.32 | 成交量比：2.6x (7428.5張/2862.5張),0.0,0.0,0.0
2026-05-25 17:13:11,1815,富喬,109.0,表面型態：⚡【量能爆發突破】,RSI 指標：40.54 | 成交量比：1.53x (33243.7張/21658.5張),0.0,0.0,0.0
2026-05-25 17:13:12,2486,一銓,297.5,表面型態：⚡【量能爆發突破】,RSI 指標：46.8 | 成交量比：1.39x (9148.0張/6590.7張),-2.86,0.0,0.0
2026-05-25 17:13:16,1802,台玻,73.9000015258789,表面型態：⚡【量能爆發突破】,RSI 指標：52.26 | 成交量比：1.93x (184795.2張/95876.9張),-2.3,0.0,0.0
2026-05-25 17:13:17,3714,富采,79.69999694824219,表面型態：⚡【量能爆發突破】,RSI 指標：56.91 | 成交量比：1.99x (95346.7張/47834.1張),-0.38,0.0,0.0
2026-05-25 17:13:19,2409,友達,24.399999618530277,表面型態：💎【大戶惜售 / 籌碼鎖定】,RSI 指標：77.64 | 成交量比：0.36x (82143.3張/229883.5張),-9.84,0.0,0.0
2026-05-25 17:13:21,7828,創新服務,1280.0,表面型態：⚡【量能爆發突破】,RSI 指標：50.28 | 成交量比：1.33x (435.0張/327.6張),0.0,0.0,0.0
2026-05-25 17:13:23,6282,康舒,63.09999847412109,表面型態：⚡【量能爆發突破】,RSI 指標：74.91 | 成交量比：1.69x (83935.0張/49547.6張),-1.11,0.0,0.0
2026-05-25 17:13:26,2457,飛宏,26.850000381469727,表面型態：⚡【量能爆發突破】,RSI 指標：56.45 | 成交量比：1.69x (5604.1張/3313.1張),-3.35,0.0,0.0
2026-05-25 17:13:28,6770,力積電,67.5999984741211,表面型態：⚡【量能爆發突破】,RSI 指標：69.55 | 成交量比：1.87x (321383.3張/171989.2張),4.73,0.0,0.0
2026-05-25 17:13:32,6207,雷柯,98.8000030517578,表面型態：💎【大戶惜售 / 籌碼鎖定】,RSI 指標：80.16 | 成交量比：0.37x (10067.5張/27394.9張),0.0,0.0,0.0
2026-05-26 13:06:19,3363,上詮,881.0,表面型態：⚡【量能爆發突破】,RSI 指標：56.93 | 成交量比：1.4x (3928.5張/2801.9張),0.0,0.0,0.0
2026-05-26 13:06:21,6442,光聖,2265.0,表面型態：⚡【量能爆發突破】,RSI 指標：58.8 | 成交量比：1.76x (6936.8張/3950.2張),0.0,0.0,0.0
2026-05-26 13:06:23,6451,訊芯-KY,633.0,表面型態：⚡【量能爆發突破】,RSI 指標：67.69 | 成交量比：1.73x (8849.1張/5107.3張),0.0,0.0,0.0
2026-05-26 13:06:31,2455,全新,425.5,表面型態：💎【大戶惜售 / 籌碼鎖定】,RSI 指標：68.86 | 成交量比：0.58x (11039.0張/19194.2張),0.0,0.0,0.0
2026-05-26 13:06:37,1815,富喬,109.0,表面型態：⚡【量能爆發突破】,RSI 指標：43.48 | 成交量比：1.93x (55516.9張/28783.9張),0.0,0.0,0.0
2026-05-26 13:06:41,1802,台玻,72.19999694824219,表面型態：⚡【量能爆發突破】,RSI 指標：52.05 | 成交量比：2.21x (314583.0張/142667.8張),0.0,0.0,0.0
2026-05-26 13:06:43,3714,富采,77.80000305175781,表面型態：💎【大戶惜售 / 籌碼鎖定】,RSI 指標：56.0 | 成交量比：0.56x (28261.1張/50616.6張),0.0,0.0,0.0
2026-05-26 13:06:45,2409,友達,22.0,表面型態：⚡【量能爆發突破】,RSI 指標：64.06 | 成交量比：2.28x (803433.4張/352538.8張),0.0,0.0,0.0
2026-05-26 13:06:48,7828,創新服務,1405.0,表面型態：⚡【量能爆發突破】,RSI 指標：58.97 | 成交量比：1.87x (808.3張/433.0張),0.0,0.0,0.0
2026-05-26 13:06:49,6282,康舒,62.79999923706055,表面型態：⚡【量能爆發突破】,RSI 指標：73.78 | 成交量比：1.41x (86619.6張/61404.6張),0.0,0.0,0.0
2026-05-26 13:06:51,1504,東元,72.69999694824219,表面型態：⚡【量能爆發突破】,RSI 指標：64.06 | 成交量比：1.34x (17092.0張/12765.7張),0.0,0.0,0.0
2026-05-26 13:06:54,6770,力積電,71.19999694824219,表面型態：⚡【量能爆發突破】,RSI 指標：70.4 | 成交量比：1.55x (321524.8張/207458.8張),0.0,0.0,0.0
